###############################
### NEW OR REORGANIZED TAGS ###
###############################

### EUROPE ##
## Continental Alliance
BOL = "countries/SouthAmerica.txt"
BRA = "countries/Brazil.txt"
CAN = "countries/Canada.txt"
CHL = "countries/SouthAmerica.txt"
COL = "countries/SouthAmerica.txt"
ECU = "countries/SouthAmerica.txt"
ELS = "countries/El Salvador.txt"
MOR = "countries/MidEast.txt"
GUA = "countries/Guatemla.txt"
HON = "countries/Honduras.txt"
IRQ = "countries/Iraq.txt"
JAP = "countries/Japan.txt"
KOR = "countries/Korea.txt"
LIB = "countries/Liberia.txt"
MEX = "countries/Mexico.txt"
MEN = "countries/Mengkukuo.txt"
NEP = "countries/Nepal.txt"
NZL = "countries/New Zealand.txt"
PAN = "countries/Panama.txt"
PER = "countries/Persia.txt"
PHI = "countries/Philippines.txt"
PRU = "countries/SouthAmerica.txt"
SAU = "countries/Saudi Arabia.txt"
SIA = "countries/Siam.txt"
SIK = "countries/Sinkiang.txt"
URG = "countries/Uruguay.txt"
VEN = "countries/SouthAmerica.txt"
YUN = "countries/Yunnan.txt"
USA = "countries/USA.txt"
MON = "countries/Mongolia.txt"
PAR = "countries/Paraguay.txt"
CUB = "countries/Cuba.txt"
DOM = "countries/Dominican Republic.txt"
HAI = "countries/Haiti.txt"
YEM = "countries/Yeman.txt"
OMA = "countries/Oman.txt"
SLO = "countries/Slovakia.txt"
RAJ = "countries/British Raj.txt"
CRO = "countries/Croatia.txt"
PRC = "countries/ComChina.txt"
SHX = "countries/Shanxi.txt"
XSM = "countries/Xibei San Ma.txt"
ICE = "countries/Iceland.txt"
LEB = "countries/Lebanon.txt"
JOR = "countries/Jordan.txt"
SYR = "countries/Syria.txt"
EGY = "countries/Egypt.txt"
LBA = "countries/Libya.txt"
WGR = "countries/West Germany.txt"
DDR = "countries/East Germany.txt"
PAL = "countries/Palestine.txt"
ISR = "countries/WestEur.txt"
VIN = "countries/Vietnam.txt"
CAM = "countries/Cambodia.txt"
MAL = "countries/Malaysia.txt"
LAO = "countries/Laos.txt"
MNT = "countries/Montenegro.txt"
UKR = "countries/Ukraine.txt"
GEO = "countries/Georgia.txt"
KAZ = "countries/Kazakhstan.txt" 
AZR = "countries/Azerbaijan.txt"
ARM = "countries/Armenia.txt"
BLR = "countries/Belarus.txt"
ANG = "countries/Angola.txt"
MZB = "countries/Mozambique.txt"
ZIM = "countries/Zimbabwe.txt"
COG = "countries/Congo.txt"
KEN = "countries/Kenya.txt"
PAK = "countries/Pakistan.txt"
BAH = "countries/Bahamas.txt"
BAN = "countries/Bangladesh.txt"
BLZ = "countries/Belize.txt"
BRM = "countries/Burma.txt"
CRC = "countries/Curacao.txt"
GDL = "countries/Guadeloupe.txt"
GYA = "countries/Guyana.txt"
JAM = "countries/Jamaica.txt"
KYR = "countries/Kyrgyzstan.txt"
MAD = "countries/Madagascar.txt"
MOL = "countries/Moldova.txt"
PNG = "countries/Papua New Guinea.txt"
PUE = "countries/Puerto Rico.txt"
QAT = "countries/Qatar.txt"
SCO = "countries/Scotland.txt"
SRL = "countries/Sri Lanka.txt"
SUR = "countries/Suriname.txt"
TAJ = "countries/Tajikistan.txt"
TRI = "countries/Trinidad and Tobago.txt"
TMS = "countries/Turkmenistan.txt"
UAE = "countries/United Arab Emirates.txt"
UZB = "countries/Uzbekistan.txt"
KUW = "countries/Kuwait.txt"
CYP = "countries/Cyprus.txt"
MLT = "countries/Malta.txt"
ALG = "countries/Algeria.txt"
TUN = "countries/Tunisia.txt"
SUD = "countries/Sudan.txt"
ERI = "countries/Eritrea.txt"
DJI = "countries/Djibouti.txt"
SOM = "countries/Somalia.txt"
UGA = "countries/Uganda.txt"
RWA = "countries/Rwanda.txt"
BRD = "countries/Burundi.txt"
TZN = "countries/Tanzania.txt"
ZAM = "countries/Zambia.txt"
MLW = "countries/Malawi.txt"
GAB = "countries/Gabon.txt"
RCG = "countries/Republic of Congo.txt"
EQG = "countries/Equatorial Guinea.txt"
CMR = "countries/Cameroon.txt"
CAR = "countries/Central African Republic.txt"
CHA = "countries/Chad.txt"
DAH = "countries/Dahomey.txt"
TOG = "countries/Togo.txt"
GHA = "countries/Ghana.txt"
IVO = "countries/Ivory Coast.txt"
VOL = "countries/Upper Volta.txt"
MLI = "countries/Mali.txt"
GNA = "countries/Guinea.txt"
GNB = "countries/Guinea-Bissau.txt"
SEN = "countries/Senegal.txt"
GAM = "countries/Gambia.txt"
WLS = "countries/Wales.txt"
NGR = "countries/Niger.txt"
CSA = "countries/CSA.txt"
USB = "countries/USB.txt"#neutral US bloc during civil war in MTG
MRT = "countries/Mauritania.txt"
NMB = "countries/Namibia.txt"
WES = "countries/Western Sahara.txt"
BAS = "countries/British Antilles.txt"
CAY = "countries/Cayenne.txt"
MLD = "countries/Maldives.txt"
FIJ = "countries/Fiji.txt"
FSM = "countries/Micronesia.txt"
TAH = "countries/Tahiti.txt"
GUM = "countries/Guam.txt"
SOL = "countries/Solomon.txt"
SAM = "countries/Samoa.txt"
HAW = "countries/Hawaii.txt"
SLV = "countries/Slovenia.txt"
BOS = "countries/Bosnia.txt"
HRZ = "countries/Herzegovina.txt"
MAC = "countries/Macedonia.txt"
NIR = "countries/Northern Ireland.txt"
MEK = "countries/Mecklenburg.txt"
PRE = "countries/Prussia.txt"
SAX = "countries/Saxony.txt"
HAN = "countries/Hanover.txt"
SHL = "countries/Schleswig-Holstein.txt"
CAT = "countries/Catalonia.txt"
NAV = "countries/Navarra.txt"
GLC = "countries/Galicia.txt"
ADU = "countries/Andalusia.txt"
BRI = "countries/Brittany.txt"
OCC = "countries/Occitania.txt"
COR = "countries/Corsica.txt"
TRA = "countries/Transylvania.txt"
DNZ = "countries/Danzig.txt"
SIL = "countries/Silesia.txt"
KSH = "countries/Kashubia.txt"
DON = "countries/Don Republic.txt"
KUB = "countries/Kuban Republic.txt"
BUK = "countries/Bukharan Republic.txt"
ALT = "countries/Altay.txt"
KAL = "countries/Kalmykia.txt"
KAR = "countries/Karelia.txt"
CRI = "countries/EastEur.txt"
TAT = "countries/Tatarstan.txt"
CIN = "countries/Chechnya Ingushetia.txt"
DAG = "countries/Dagestan.txt"
BYA = "countries/Buryatia.txt"
CKK = "countries/Chukotka.txt"
FER = "countries/Fareastern Republic.txt"
YAK = "countries/Yakutia.txt"
VLA = "countries/Vladivostok.txt"
KKP = "countries/Karakalpakstan.txt"
YAM = "countries/Yamalia.txt"
TAY = "countries/Taymyria.txt"
OVO = "countries/Ostyak Vogulia.txt"
NEN = "countries/Nenetsia.txt"
KOM = "countries/Komi.txt"
ABK = "countries/Abkhazia.txt"
KBK = "countries/Kabardino Balkaria.txt"
NOA = "countries/North Ossetia.txt"
VGE = "countries/Volga Germany.txt"
BSK = "countries/Bashkortostan.txt"
KHI = "countries/Khiva.txt"
UDM = "countries/Udmurtia.txt"
CHU = "countries/Chuvashia.txt"
MEL = "countries/Mariel.txt"
RIF = "countries/Rif.txt"
HAR = "countries/Harar.txt"
TIG = "countries/Tigray.txt"
AFA = "countries/Afar.txt"
BEG = "countries/Benishangul-Gumuz.txt"
GBA = "countries/Gambela.txt"
SID = "countries/Sidamo.txt"
ORO = "countries/Oromo.txt"
QEM = "countries/Qemant.txt"
KHA = "countries/Khakassia.txt"
AOI = "countries/Italian East Africa.txt"
LBV = "countries/Lombardy Venetia.txt"
TOS = "countries/Tuscany.txt"
SPM = "countries/Sardinia Piedmont.txt"
TTS = "countries/The Two Sicilies.txt"

#NOTE: Useful to add a basic default loc entry for each tag in 00_countries.txt so that hovering over a tag will show the tag's name in loc (ie. PAP: "Papal States")
